"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R27","0805_REFLOWSOLDERING_RES","4310mil","2155mil","4310mil","2155mil","4310mil","2191mil","T","270.00","RES_0805_1%_100PPM_10K"
"R10","0805_REFLOWSOLDERING_RES","4130mil","2770mil","4130mil","2770mil","4130mil","2806mil","T","270.00","RES_0805_1%_100PPM_22K"
"R15","0805_REFLOWSOLDERING_RES","4130mil","2565mil","4130mil","2565mil","4130mil","2601mil","T","270.00","RES_0805_1%_100PPM_22K"
"R22","0805_REFLOWSOLDERING_RES","4130mil","2975mil","4130mil","2975mil","4130mil","3011mil","T","270.00","RES_0805_1%_100PPM_22K"
"R28","0805_REFLOWSOLDERING_RES","4130mil","2155mil","4130mil","2155mil","4130mil","2191mil","T","270.00","RES_0805_1%_100PPM_22K"
"R25","0805_REFLOWSOLDERING_RES","4855mil","2130mil","4855mil","2130mil","4891mil","2130mil","T","180.00","RES_0805_1%_100PPM_22K"
"R47","0805_REFLOWSOLDERING_RES","6650mil","2420mil","6650mil","2420mil","6650mil","2456mil","T","270.00","RES_0805_1%_100PPM_22K"
"R18","0805_REFLOWSOLDERING_RES","5060mil","2310mil","5060mil","2310mil","5096mil","2310mil","T","180.00","RES_0805_1%_100PPM_10K"
"R24","0805_REFLOWSOLDERING_RES","4855mil","2310mil","4855mil","2310mil","4891mil","2310mil","T","180.00","RES_0805_1%_100PPM_10K"
"R33","0805_REFLOWSOLDERING_RES","4130mil","2360mil","4130mil","2360mil","4130mil","2396mil","T","270.00","RES_0805_1%_100PPM_22K"
"R13","0805_REFLOWSOLDERING_RES","4650mil","2130mil","4650mil","2130mil","4686mil","2130mil","T","180.00","RES_0805_1%_100PPM_22K"
"R19","0805_REFLOWSOLDERING_RES","5060mil","2130mil","5060mil","2130mil","5096mil","2130mil","T","180.00","RES_0805_1%_100PPM_22K"
"R35","0805_REFLOWSOLDERING_RES","4220mil","2360mil","4220mil","2360mil","4220mil","2324mil","T","90.00","RES_0805_1%_100PPM_6.8K"
"R14","0805_REFLOWSOLDERING_RES","4650mil","2220mil","4650mil","2220mil","4614mil","2220mil","T","360.00","RES_0805_1%_100PPM_6.8K"
"R20","0805_REFLOWSOLDERING_RES","5060mil","2220mil","5060mil","2220mil","5024mil","2220mil","T","360.00","RES_0805_1%_100PPM_6.8K"
"R31","0805_REFLOWSOLDERING_RES","5265mil","2310mil","5265mil","2310mil","5301mil","2310mil","T","180.00","RES_0805_1%_100PPM_10K"
"R36","0805_REFLOWSOLDERING_RES","5500mil","2385mil","5500mil","2385mil","5500mil","2421mil","T","270.00","RES_0805_1%_100PPM_10K"
"R44","0805_REFLOWSOLDERING_RES","5985mil","2385mil","5985mil","2385mil","5985mil","2421mil","T","270.00","RES_0805_1%_100PPM_10K"
"R49","0805_REFLOWSOLDERING_RES","6470mil","2420mil","6470mil","2420mil","6470mil","2456mil","T","270.00","RES_0805_1%_100PPM_10K"
"R30","0805_REFLOWSOLDERING_RES","5265mil","2130mil","5265mil","2130mil","5301mil","2130mil","T","180.00","RES_0805_1%_100PPM_22K"
"R37","0805_REFLOWSOLDERING_RES","5680mil","2385mil","5680mil","2385mil","5680mil","2421mil","T","270.00","RES_0805_1%_100PPM_22K"
"R42","0805_REFLOWSOLDERING_RES","6165mil","2385mil","6165mil","2385mil","6165mil","2421mil","T","270.00","RES_0805_1%_100PPM_22K"
"R32","0805_REFLOWSOLDERING_RES","5265mil","2220mil","5265mil","2220mil","5229mil","2220mil","T","360.00","RES_0805_1%_100PPM_6.8K"
"R38","0805_REFLOWSOLDERING_RES","5590mil","2385mil","5590mil","2385mil","5590mil","2349mil","T","90.00","RES_0805_1%_100PPM_6.8K"
"R43","0805_REFLOWSOLDERING_RES","6075mil","2385mil","6075mil","2385mil","6075mil","2349mil","T","90.00","RES_0805_1%_100PPM_6.8K"
"R55","0805_REFLOWSOLDERING_RES","8565mil","2680mil","8565mil","2680mil","8529mil","2680mil","T","360.00","RES_0805_1%_100PPM_10K"
"R58","0805_REFLOWSOLDERING_RES","8330mil","2680mil","8330mil","2680mil","8294mil","2680mil","T","360.00","RES_0805_1%_100PPM_10K"
"R61","0805_REFLOWSOLDERING_RES","7155mil","2540mil","7155mil","2540mil","7119mil","2540mil","T","360.00","RES_0805_1%_100PPM_10K"
"R50","0805_REFLOWSOLDERING_RES","6920mil","2360mil","6920mil","2360mil","6884mil","2360mil","T","360.00","RES_0805_1%_100PPM_22K"
"R53","0805_REFLOWSOLDERING_RES","8565mil","2500mil","8565mil","2500mil","8529mil","2500mil","T","360.00","RES_0805_1%_100PPM_22K"
"R56","0805_REFLOWSOLDERING_RES","8330mil","2500mil","8330mil","2500mil","8294mil","2500mil","T","360.00","RES_0805_1%_100PPM_22K"
"R51","0805_REFLOWSOLDERING_RES","6920mil","2450mil","6920mil","2450mil","6956mil","2450mil","T","180.00","RES_0805_1%_100PPM_6.8K"
"R54","0805_REFLOWSOLDERING_RES","8565mil","2590mil","8565mil","2590mil","8601mil","2590mil","T","180.00","RES_0805_1%_100PPM_6.8K"
"R57","0805_REFLOWSOLDERING_RES","8330mil","2590mil","8330mil","2590mil","8366mil","2590mil","T","180.00","RES_0805_1%_100PPM_6.8K"
"R60","0805_REFLOWSOLDERING_RES","7155mil","2450mil","7155mil","2450mil","7191mil","2450mil","T","180.00","RES_0805_1%_100PPM_6.8K"
"R64","0805_REFLOWSOLDERING_RES","8095mil","2680mil","8095mil","2680mil","8059mil","2680mil","T","360.00","RES_0805_1%_100PPM_10K"
"R67","0805_REFLOWSOLDERING_RES","7390mil","2540mil","7390mil","2540mil","7354mil","2540mil","T","360.00","RES_0805_1%_100PPM_10K"
"R70","0805_REFLOWSOLDERING_RES","7860mil","2680mil","7860mil","2680mil","7824mil","2680mil","T","360.00","RES_0805_1%_100PPM_10K"
"R73","0805_REFLOWSOLDERING_RES","7625mil","2680mil","7625mil","2680mil","7589mil","2680mil","T","360.00","RES_0805_1%_100PPM_10K"
"R62","0805_REFLOWSOLDERING_RES","8095mil","2500mil","8095mil","2500mil","8059mil","2500mil","T","360.00","RES_0805_1%_100PPM_22K"
"R65","0805_REFLOWSOLDERING_RES","7390mil","2359.37mil","7390mil","2359.37mil","7354mil","2359.37mil","T","360.00","RES_0805_1%_100PPM_22K"
"R71","0805_REFLOWSOLDERING_RES","7625mil","2500mil","7625mil","2500mil","7589mil","2500mil","T","360.00","RES_0805_1%_100PPM_22K"
"R63","0805_REFLOWSOLDERING_RES","8095mil","2590mil","8095mil","2590mil","8131mil","2590mil","T","180.00","RES_0805_1%_100PPM_6.8K"
"R69","0805_REFLOWSOLDERING_RES","7860mil","2590mil","7860mil","2590mil","7896mil","2590mil","T","180.00","RES_0805_1%_100PPM_6.8K"
"R11","0805_REFLOWSOLDERING_RES","4220mil","2770mil","4220mil","2770mil","4220mil","2734mil","T","90.00","RES_0805_1%_100PPM_6.8K"
"R17","0805_REFLOWSOLDERING_RES","4220mil","2565mil","4220mil","2565mil","4220mil","2529mil","T","90.00","RES_0805_1%_100PPM_6.8K"
"R23","0805_REFLOWSOLDERING_RES","4220mil","2975mil","4220mil","2975mil","4220mil","2939mil","T","90.00","RES_0805_1%_100PPM_6.8K"
"R29","0805_REFLOWSOLDERING_RES","4220mil","2155mil","4220mil","2155mil","4220mil","2119mil","T","90.00","RES_0805_1%_100PPM_6.8K"
"R26","0805_REFLOWSOLDERING_RES","4855mil","2220mil","4855mil","2220mil","4819mil","2220mil","T","360.00","RES_0805_1%_100PPM_6.8K"
"R48","0805_REFLOWSOLDERING_RES","6560mil","2420mil","6560mil","2420mil","6560mil","2384mil","T","90.00","RES_0805_1%_100PPM_6.8K"
"R72","0805_REFLOWSOLDERING_RES","7625mil","2590mil","7625mil","2590mil","7661mil","2590mil","T","180.00","RES_0805_1%_100PPM_6.8K"
"R1","0805_REFLOWSOLDERING_RES","426.25mil","3061.88mil","426.25mil","3061.88mil","462.25mil","3061.88mil","T","180.00","RES_0805_1%_100PPM_0R"
"R2","0805_REFLOWSOLDERING_RES","426.25mil","2980.63mil","426.25mil","2980.63mil","462.25mil","2980.63mil","T","180.00","RES_0805_1%_100PPM_0R"
"R76","0805_REFLOWSOLDERING_RES","10412.5mil","2468.75mil","10412.5mil","2468.75mil","10412.5mil","2504.75mil","T","270.00","RES_0805_1%_100PPM_10K"
"R41","0805_REFLOWSOLDERING_RES","3410mil","2130mil","3410mil","2130mil","3410mil","2166mil","T","270.00","RES_0805_1%_100PPM_10K"
"R40","0805_REFLOWSOLDERING_RES","3590mil","2130mil","3590mil","2130mil","3590mil","2166mil","T","270.00","RES_0805_1%_100PPM_10K"
"R39","0805_REFLOWSOLDERING_RES","2780mil","2840mil","2780mil","2840mil","2744mil","2840mil","T","360.00","RES_0805_1%_100PPM_1K"
"R77","0805_REFLOWSOLDERING_RES","10643.75mil","2600mil","10643.75mil","2600mil","10607.75mil","2600mil","T","360.00","RES_0805_1%_100PPM_1K"
"SUP_K1","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5069mil","375mil","1215.748mil","-2738.709mil","-5069mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K2","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5069mil","1175mil","1215.748mil","-2738.709mil","-5069mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K3","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5069mil","1575mil","1215.748mil","-2738.709mil","-5069mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K4","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","2075mil","1164.37mil","-2738.709mil","-5069mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K5","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","2675mil","1164.37mil","-2738.709mil","-5069mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K6","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","3275mil","1164.37mil","-2738.709mil","-5069mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K7","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","3875mil","1164.37mil","-2738.709mil","-5069mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K8","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","4475mil","1164.37mil","-2738.709mil","-5069mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K9","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","5075mil","1164.37mil","-2738.709mil","-5069mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K10","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","6075mil","1164.37mil","-2738.709mil","-5069mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K11","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","6675mil","1164.37mil","-2738.709mil","-5069mil","T","180.00","RELAY-SUPPORT_95.15.2"
"SUP_K14","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","8875mil","1164.37mil","-2738.709mil","-5069mil","T","180.00","RELAY-SUPPORT_95.15.2"
"SUP_K15","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5069mil","9475mil","1164.37mil","-2738.709mil","-5069mil","T","180.00","RELAY-SUPPORT_95.15.2"
"SUP_K16","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5069mil","9975mil","1215.748mil","-2738.709mil","-5069mil","T","90.00","RELAY-SUPPORT_93.11"
